tconst,originalTitle,weightedAverage,soup
tt0027977,Modern Times,8.456109351244969,comedy drama romance nm0000122 nm0000122 nm0002104 nm0074788 nm0761866 nm0174682
tt0027996,Mr. Deeds Goes to Town,7.512492444926091,comedy drama romance nm0001008 nm0000011 nm0000795 nm0051628 nm0822034 nm0241523
tt0028010,My Man Godfrey,7.626160751690984,comedy drama romance nm0478441 nm0001635 nm0001479 nm0103567 nm0665850 nm0657874
tt0028096,The Petrified Forest,7.168256415778815,drama thriller nm0562845 nm0001366 nm0000007 nm0000012 nm0864931 nm0285264
tt0028212,Sabotage,6.8267340465806,crime thriller nm0000033 nm0796662 nm0393028 nm0856469 nm0517058 nm0053829
tt0028216,San Francisco,6.7393332324397655,drama music romance nm0886754 nm0000022 nm0531776 nm0000075 nm0392442 nm0707771
tt0028231,Secret Agent,6.320502222177736,mystery thriller nm0000033 nm0000024 nm0140914 nm0001870 nm0000048 nm0549385
tt0028333,Swing Time,7.162313678305015,comedy musical romance nm0828419 nm0000001 nm0001677 nm0602005 nm0110813 nm0089314
tt0028346,Tell Your Children,4.562772536243885,comedy crime drama nm0309163 nm0795044 nm0185924 nm0587178 nm0639495 nm0925509
tt0028358,Things to Come,6.449660786469811,drama sci-fi war nm0580017 nm0557339 nm0152361 nm0724732
tt0028597,The Awful Truth,7.411360247563607,comedy romance nm0564970 nm0002050 nm0000026 nm0000897 nm0195422 nm0192258
tt0028683,Camille,6.891547830172967,drama romance nm0002030 nm0001256 nm0001791 nm0000859 nm0019922 nm0707771
tt0028691,Captains Courageous,7.359060469126026,adventure drama family nm0281808 nm0000075 nm0000861 nm0000859 nm0002048 nm0335788
tt0028772,A Day at the Races,7.162210241612644,comedy family musical nm0939992 nm0000050 nm0555597 nm0555617 nm0427452 nm0001577
tt0028773,Dead End,6.823583771993561,crime drama film-noir nm0943758 nm0796662 nm0566948 nm0000007 nm0057412 nm0872456
tt0028944,The Good Earth,6.864580256670361,drama romance nm0291548 nm0281808 nm0532561 nm0939992 nm0612847 nm0707023 nm0175369 nm0521300 nm0335788
tt0028950,La grande illusion,7.880817645873698,drama war nm0719756 nm0300064 nm0663077 nm0294382 nm0002233 nm0136853
tt0029146,The Life of Emile Zola,6.835178196984561,biography drama nm0226189 nm0612847 nm0814216 nm0771584 nm0390192 nm0187981
tt0029162,Lost Horizon,7.234369821861306,adventure drama fantasy nm0001008 nm0172903 nm0943553 nm0002143 nm0397397 nm0593775
